# x	y	u	v	mask
  0.2176	  7.2731	 -0.0064	  0.0080	  0.0000
  0.3419	  7.2731	 -0.1056	 -0.0075	  0.0000
  0.4662	  7.2731	  0.0650	  0.1056	  0.0000
  0.5906	  7.2731	 -0.5112	  0.0050	  0.0000
  0.7149	  7.2731	 -0.5110	  0.0049	  0.0000
  0.8392	  7.2731	 -0.3593	  0.0126	  0.0000
  0.9635	  7.2731	  0.0569	 -0.0068	  0.0000
  1.0879	  7.2731	  0.0000	  0.0000	  0.0000
  1.2122	  7.2731	  0.0000	  0.0000	  0.0000
  1.3365	  7.2731	  0.0000	  0.0000	  0.0000
  1.4608	  7.2731	  0.0000	  0.0000	  0.0000
  1.5852	  7.2731	 -0.0655	 -0.3559	  0.0000
  1.7095	  7.2731	  0.0088	 -0.0712	  0.0000
  1.8338	  7.2731	  0.1454	  0.2247	  0.0000
  1.9581	  7.2731	 -0.4898	 -0.2589	  0.0000
  2.0825	  7.2731	 -0.2976	 -0.1497	  0.0000
  2.2068	  7.2731	 -0.0535	 -0.0546	  0.0000
  2.3311	  7.2731	  2.1291	  0.9878	  0.0000
  2.4554	  7.2731	 -0.5619	  0.3913	  0.0000
  2.5798	  7.2731	  0.0000	  0.0000	  0.0000
  2.7041	  7.2731	  0.0000	  0.0000	  0.0000
  2.8284	  7.2731	  0.0000	  0.0000	  0.0000
  2.9528	  7.2731	  0.0000	  0.0000	  0.0000
  3.0771	  7.2731	  0.0000	  0.0000	  0.0000
  3.2014	  7.2731	  0.0000	  0.0000	  0.0000
  3.3257	  7.2731	  0.2322	 -0.0063	  0.0000
  3.4501	  7.2731	 -0.2795	  0.0090	  0.0000
  3.5744	  7.2731	 -0.1894	  0.0220	  0.0000
  3.6987	  7.2731	 -0.2840	  0.0088	  0.0000
  3.8230	  7.2731	 -0.2094	  0.0488	  0.0000
  3.9474	  7.2731	 -0.3624	  0.0157	  0.0000
  4.0717	  7.2731	 -0.3829	  0.0261	  0.0000
  4.1960	  7.2731	 -0.3958	 -0.0032	  0.0000
  4.3203	  7.2731	 -0.2079	  0.0555	  0.0000
  4.4447	  7.2731	 -0.1261	  0.0000	  0.0000
  4.5690	  7.2731	  0.0170	  0.0399	  0.0000
  4.6933	  7.2731	  0.1694	  0.0800	  0.0000
  4.8177	  7.2731	  0.1043	 -0.0167	  0.0000
  4.9420	  7.2731	  0.0045	  0.0027	  0.0000
  5.0663	  7.2731	  0.0000	  0.0000	  0.0000
  5.1906	  7.2731	  0.0000	  0.0000	  0.0000
  5.3150	  7.2731	  0.1234	 -0.1649	  0.0000
  5.4393	  7.2731	 -0.0545	 -0.0754	  0.0000
  5.5636	  7.2731	 -0.0118	 -0.1308	  0.0000
  5.6879	  7.2731	  0.0232	 -0.0066	  0.0000
  5.8123	  7.2731	 -0.4100	  0.0279	  0.0000
  5.9366	  7.2731	 -0.0515	  0.1571	  0.0000
  6.0609	  7.2731	  0.2591	 -0.1578	  0.0000
  6.1852	  7.2731	 -4.5361	  3.2562	  0.0000
  6.3096	  7.2731	 -2.2943	 -0.7144	  0.0000
  6.4339	  7.2731	  0.0000	  0.0000	  0.0000
  6.5582	  7.2731	  0.0000	  0.0000	  0.0000
  6.6826	  7.2731	  4.7287	 -5.3965	  0.0000
  6.8069	  7.2731	 -0.2084	 -1.5659	  0.0000
  6.9312	  7.2731	 -0.2289	 -0.5669	  0.0000
  7.0555	  7.2731	  0.1186	  0.3442	  0.0000
  7.1799	  7.2731	  0.0000	  0.0000	  0.0000
  7.3042	  7.2731	  0.0000	  0.0000	  0.0000
  7.4285	  7.2731	  0.0000	  0.0000	  0.0000
  0.2176	  7.1488	 -0.0064	  0.0080	  0.0000
  0.3419	  7.1488	 -0.1082	 -0.0426	  0.0000
  0.4662	  7.1488	 -0.2400	  0.0373	  0.0000
