# x	y	u	v	mask
  0.4930	  0.3991	  0.1505	 -0.0870	  0.0000
  0.5879	  0.3991	  0.1096	 -0.0595	  0.0000
  0.6827	  0.3991	  0.0993	 -0.0519	  0.0000
  0.7776	  0.3991	  0.1506	 -0.0842	  0.0000
  0.8724	  0.3991	  0.3335	 -0.0738	  0.0000
  0.9673	  0.3991	  0.5617	  0.0028	  0.0000
  1.0621	  0.3991	  0.6437	  0.0557	  0.0000
  1.1570	  0.3991	  0.4668	  0.0298	  0.0000
  1.2518	  0.3991	  0.1813	 -0.0146	  0.0000
  1.3467	  0.3991	 -0.0084	  0.0059	  0.0000
  1.4415	  0.3991	 -0.0494	  0.0348	  0.0000
  1.5364	  0.3991	 -0.0292	  0.0205	  0.0000
  1.6312	  0.3991	  0.0028	 -0.0020	  0.0000
  1.7261	  0.3991	  0.0130	 -0.0091	  0.0000
  1.8209	  0.3991	  0.0077	 -0.0054	  0.0000
  1.9158	  0.3991	 -0.0010	  0.0007	  0.0000
  2.0106	  0.3991	 -0.0045	  0.0033	  0.0000
  2.1055	  0.3991	 -0.0032	  0.0024	  0.0000
  2.2003	  0.3991	  0.0006	 -0.0006	  0.0000
  2.2952	  0.3991	 -0.0004	 -0.0024	  0.0000
  2.3900	  0.3991	 -0.0028	 -0.0019	  0.0000
  2.4849	  0.3991	  0.0020	  0.0006	  0.0000
  2.5797	  0.3991	  0.0140	  0.0013	  0.0000
  2.6746	  0.3991	  0.0164	  0.0004	  0.0000
  2.7694	  0.3991	 -0.0097	  0.0001	  0.0000
  2.8643	  0.3991	 -0.0562	  0.0013	  0.0000
  2.9591	  0.3991	 -0.0614	  0.0017	  0.0000
  3.0540	  0.3991	  0.0294	 -0.0011	  0.0000
  3.1488	  0.3991	  0.0446	 -0.0036	  0.0000
  3.2437	  0.3991	  0.0014	 -0.0030	  0.0000
  3.3385	  0.3991	  0.0173	  0.0020	  0.0000
  3.4334	  0.3991	  0.1200	  0.0104	  0.0000
  3.5282	  0.3991	  0.1838	  0.0174	  0.0000
  3.6231	  0.3991	  0.0893	  0.0167	  0.0000
  3.7179	  0.3991	  0.0098	 -0.0022	  0.0000
  3.8128	  0.3991	 -0.0086	 -0.0220	  0.0000
  3.9076	  0.3991	 -0.0008	 -0.0179	  0.0000
  4.0025	  0.3991	  0.0072	  0.0222	  0.0000
  4.0973	  0.3991	  0.0068	  0.0621	  0.0000
  4.1922	  0.3991	 -0.0084	  0.0594	  0.0000
  4.2870	  0.3991	 -0.0332	  0.0075	  0.0000
  4.3819	  0.3991	 -0.0469	 -0.0528	  0.0000
  4.4767	  0.3991	 -0.0280	 -0.0806	  0.0000
  4.5716	  0.3991	  0.0260	 -0.0822	  0.0000
  4.6664	  0.3991	  0.0847	 -0.0810	  0.0000
  4.7613	  0.3991	  0.1162	 -0.0951	  0.0000
  4.8561	  0.3991	  0.1221	 -0.1241	  0.0000
  4.9510	  0.3991	  0.1417	 -0.1669	  0.0000
  5.0458	  0.3991	  0.2142	 -0.2236	  0.0000
  5.1407	  0.3991	  0.3279	 -0.2813	  0.0000
  5.2355	  0.3991	  0.4171	 -0.3128	  0.0000
  5.3304	  0.3991	  0.4212	 -0.2921	  0.0000
  5.4252	  0.3991	  0.3606	 -0.2324	  0.0000
  5.5201	  0.3991	  0.2889	 -0.1876	  0.0000
  5.6149	  0.3991	  0.2523	 -0.2082	  0.0000
  5.7098	  0.3991	  0.2467	 -0.2753	  0.0000
  5.8046	  0.3991	  0.2517	 -0.3304	  0.0000
  5.8995	  0.3991	  0.2494	 -0.3186	  0.0000
  5.9943	  0.3991	  0.2379	 -0.2408	  0.0000
  6.0892	  0.3991	  0.2284	 -0.1453	  0.0000
  6.1840	  0.3991	  0.2353	 -0.0839	  0.0000
  6.2789	  0.3991	  0.2624	 -0.0799	  0.0000
  6.3737	  0.3991	  0.2809	 -0.1013	  0.0000
  6.4686	  0.3991	  0.2666	 -0.1144	  0.0000
  6.5634	  0.3991	  0.2345	 -0.1074	  0.0000
  6.6583	  0.3991	  0.1979	 -0.0847	  0.0000
  6.7531	  0.3991	  0.1682	 -0.0510	  0.0000
  6.8480	  0.3991	  0.1525	 -0.0131	  0.0000
  6.9428	  0.3991	  0.1551	  0.0209	  0.0000
  7.0377	  0.3991	  0.1394	  0.0482	  0.0000
  7.1325	  0.3991	  0.0419	  0.0649	  0.0000
  7.2274	  0.3991	 -0.0254	  0.0396	  0.0000
  7.3222	  0.3991	  0.0460	 -0.0538	  0.0000
  7.4171	  0.3991	  0.2276	 -0.1753	  0.0000
  7.5119	  0.3991	  0.4138	 -0.2476	  0.0000
  7.6068	  0.3991	  0.5227	 -0.2010	  0.0000
  7.7016	  0.3991	  0.5775	 -0.0765	  0.0000
  7.7965	  0.3991	  0.6079	  0.0089	  0.0000
  7.8913	  0.3991	  0.6498	 -0.0479	  0.0000
  7.9862	  0.3991	  0.7504	 -0.2038	  0.0000
  8.0810	  0.3991	  0.9422	 -0.3337	  0.0000
  8.1759	  0.3991	  1.2572	 -0.3304	  0.0000
  8.2707	  0.3991	  1.6304	 -0.2180	  0.0000
  8.3656	  0.3991	  1.9161	 -0.0754	  0.0000
  8.4604	  0.3991	  1.9941	  0.0270	  0.0000
  8.5553	  0.3991	  1.9185	  0.0749	  0.0000
  8.6501	  0.3991	  1.8140	  0.0772	  0.0000
  8.7450	  0.3991	  1.7866	  0.0380	  0.0000
  8.8398	  0.3991	  1.8218	 -0.0178	  0.0000
  8.9347	  0.3991	  1.8582	 -0.0405	  0.0000
  9.0295	  0.3991	  1.8347	 -0.0004	  0.0000
  9.1244	  0.3991	  1.7711	  0.0672	  0.0000
  9.2192	  0.3991	  1.7413	  0.1208	  0.0000
  9.3141	  0.3991	  1.7995	  0.1275	  0.0000
  9.4089	  0.3991	  1.8991	  0.0954	  0.0000
  9.5038	  0.3991	  1.9622	  0.0456	  0.0000
  9.5986	  0.3991	  1.9357	 -0.0062	  0.0000
  9.6935	  0.3991	  1.8702	 -0.0488	  0.0000
  9.7883	  0.3991	  1.8429	 -0.0670	  0.0000
  9.8832	  0.3991	  1.9195	 -0.0483	  0.0000
  9.9780	  0.3991	  2.0453	 -0.0050	  0.0000
 10.0729	  0.3991	  2.1149	  0.0408	  0.0000
 10.1677	  0.3991	  2.0546	  0.0778	  0.0000
 10.2626	  0.3991	  1.9352	  0.0965	  0.0000
 10.3574	  0.3991	  1.8670	  0.0782	  0.0000
 10.4523	  0.3991	  1.9076	  0.0156	  0.0000
 10.5471	  0.3991	  1.9297	 -0.0581	  0.0000
 10.6420	  0.3991	  1.7649	 -0.1010	  0.0000
 10.7368	  0.3991	  1.2301	 -0.0945	  0.0000
 10.8317	  0.3991	  0.5255	 -0.0627	  0.0000
 10.9265	  0.3991	  0.0159	 -0.0311	  0.0000
 11.0214	  0.3991	 -0.1294	 -0.0160	  0.0000
 11.1162	  0.3991	 -0.0742	 -0.0128	  0.0000
 11.2111	  0.3991	  0.0032	 -0.0144	  0.0000
 11.3059	  0.3991	  0.0205	 -0.0163	  0.0000
 11.4008	  0.3991	  0.0096	 -0.0166	  0.0000
 11.4956	  0.3991	 -0.0040	 -0.0133	  0.0000
 11.5905	  0.3991	 -0.0046	 -0.0062	  0.0000
 11.6853	  0.3991	  0.0001	 -0.0002	  0.0000
