# x	y	u	v	mask
  0.4930	 19.5560	  0.0000	  0.0000	  0.0000
  0.7747	 19.5560	  0.0000	  0.0000	  0.0000
  1.0564	 19.5560	  0.0000	  0.0000	  0.0000
  1.3382	 19.5560	  0.0000	  0.0000	  0.0000
  1.6199	 19.5560	  0.0000	  0.0000	  0.0000
  1.9016	 19.5560	  0.0000	  0.0000	  0.0000
  2.1833	 19.5560	  0.0000	  0.0000	  0.0000
  2.4650	 19.5560	  0.0000	  0.0000	  0.0000
  2.7468	 19.5560	  0.0000	  0.0000	  0.0000
  3.0285	 19.5560	  0.0000	  0.0000	  0.0000
  3.3102	 19.5560	  0.0040	  0.0412	  0.0000
  3.5919	 19.5560	  0.0208	  0.0132	  0.0000
  3.8736	 19.5560	  0.0095	  0.0066	  0.0000
  4.1553	 19.5560	 -0.2713	 -0.2296	  0.0000
  4.4371	 19.5560	 -0.1688	 -0.0779	  0.0000
  4.7188	 19.5560	 -0.2015	 -0.1001	  0.0000
  5.0005	 19.5560	 -0.1832	 -0.1221	  0.0000
  5.2822	 19.5560	 -0.2817	 -0.1744	  0.0000
  5.5639	 19.5560	 -0.2165	 -0.1584	  0.0000
  5.8457	 19.5560	 -0.4562	 -0.3776	  0.0000
  6.1274	 19.5560	 -0.4194	 -0.1551	  0.0000
  6.4091	 19.5560	 -0.0810	  0.0342	  0.0000
  6.6908	 19.5560	 -0.0861	  0.0237	  0.0000
  6.9725	 19.5560	  0.1000	  0.0285	  0.0000
  7.2543	 19.5560	 -0.0161	  0.0233	  0.0000
  7.5360	 19.5560	 -0.0438	  0.0350	  0.0000
  7.8177	 19.5560	  0.0379	  0.0134	  0.0000
  8.0994	 19.5560	  0.0306	 -0.0271	  0.0000
  8.3811	 19.5560	 -0.0927	 -0.0229	  0.0000
  8.6628	 19.5560	 -0.0148	 -0.0465	  0.0000
  8.9446	 19.5560	 -0.3706	 -0.0524	  0.0000
  9.2263	 19.5560	 -0.4704	 -0.2103	  0.0000
  9.5080	 19.5560	 -0.5617	  0.0141	  0.0000
