# x	y	u	v	mask
  0.4226	  0.4226	 -0.0894	  0.0917	  0.0000
  0.5457	  0.4226	 -0.0513	  0.0946	  0.0000
  0.6689	  0.4226	 -0.0472	  0.0853	  0.0000
  0.7921	  0.4226	 -0.1187	  0.0502	  0.0000
  0.9152	  0.4226	 -0.2127	  0.0103	  0.0000
  1.0384	  0.4226	 -0.2258	  0.0012	  0.0000
  1.1616	  0.4226	 -0.1487	  0.0080	  0.0000
  1.2847	  0.4226	 -0.0857	  0.0318	  0.0000
  1.4079	  0.4226	 -0.1024	  0.0628	  0.0000
  1.5310	  0.4226	 -0.1433	  0.0401	  0.0000
  1.6542	  0.4226	 -0.1305	 -0.0615	  0.0000
  1.7774	  0.4226	 -0.0850	 -0.1617	  0.0000
  1.9005	  0.4226	 -0.0935	 -0.2214	  0.0000
  2.0237	  0.4226	 -0.0915	 -0.1989	  0.0000
  2.1469	  0.4226	  0.0682	  0.1346	  0.0000
  2.2700	  0.4226	  0.3238	  0.7218	  0.0000
  2.3932	  0.4226	  0.2361	  0.9555	  0.0000
  2.5164	  0.4226	 -0.6399	  0.4272	  0.0000
  2.6395	  0.4226	 -1.6569	 -0.2730	  0.0000
  2.7627	  0.4226	 -1.7133	 -0.4375	  0.0000
  2.8858	  0.4226	 -0.9364	 -0.1877	  0.0000
  3.0090	  0.4226	 -0.3428	  0.0884	  0.0000
  3.1322	  0.4226	 -0.1513	  0.1951	  0.0000
  3.2553	  0.4226	  0.0377	 -0.0567	  0.0000
  3.3785	  0.4226	  0.4186	 -0.6633	  0.0000
  3.5017	  0.4226	  0.6233	 -1.0303	  0.0000
  3.6248	  0.4226	  0.3260	 -0.5906	  0.0000
  3.7480	  0.4226	 -0.0481	 -0.0186	  0.0000
  3.8712	  0.4226	  0.1320	 -0.5208	  0.0000
  3.9943	  0.4226	  0.5291	 -1.8314	  0.0000
  4.1175	  0.4226	 -0.1578	 -2.7198	  0.0000
  4.2406	  0.4226	 -2.0717	 -2.5181	  0.0000
  4.3638	  0.4226	 -3.1163	 -1.6308	  0.0000
  4.4870	  0.4226	 -1.8738	 -0.6943	  0.0000
  4.6101	  0.4226	 -0.0979	 -0.1552	  0.0000
  4.7333	  0.4226	  0.3711	 -0.1001	  0.0000
  4.8565	  0.4226	  0.2233	 -0.1281	  0.0000
  4.9796	  0.4226	  0.1093	  0.0473	  0.0000
  5.1028	  0.4226	  0.1854	  0.4095	  0.0000
  5.2260	  0.4226	  0.0510	  0.5718	  0.0000
  5.3491	  0.4226	 -0.5797	  0.2213	  0.0000
  5.4723	  0.4226	 -1.1244	 -0.2708	  0.0000
  5.5954	  0.4226	 -0.9312	 -0.3214	  0.0000
  5.7186	  0.4226	 -0.2530	 -0.0142	  0.0000
  5.8418	  0.4226	  0.3664	  0.0394	  0.0000
  5.9649	  0.4226	  0.4788	 -0.0785	  0.0000
  6.0881	  0.4226	 -0.2867	  0.3223	  0.0000
  6.2113	  0.4226	 -1.9018	  0.8360	  0.0000
  6.3344	  0.4226	 -2.8283	 -0.2953	  0.0000
  6.4576	  0.4226	 -1.8816	 -3.9402	  0.0000
  6.5807	  0.4226	 -0.0442	 -7.5593	  0.0000
  6.7039	  0.4226	  1.4185	 -8.3645	  0.0000
  6.8271	  0.4226	  2.1013	 -6.7894	  0.0000
  6.9502	  0.4226	  1.7854	 -4.2012	  0.0000
  7.0734	  0.4226	  0.7056	 -1.7028	  0.0000
  7.1966	  0.4226	 -0.2818	 -0.0871	  0.0000
  7.3197	  0.4226	 -0.4563	  0.2649	  0.0000
  7.4429	  0.4226	 -0.1300	  0.0832	  0.0000
  7.5661	  0.4226	  0.1836	  0.1619	  0.0000
  7.6892	  0.4226	  0.5592	  0.3707	  0.0000
  7.8124	  0.4226	  1.3005	  0.2526	  0.0000
  7.9355	  0.4226	  2.0793	 -0.0413	  0.0000
  8.0587	  0.4226	  1.8947	 -0.2209	  0.0000
  8.1819	  0.4226	  0.4885	 -0.1662	  0.0000
  8.3050	  0.4226	 -0.8561	 -0.0458	  0.0000
  8.4282	  0.4226	 -0.7753	 -0.0334	  0.0000
  8.5514	  0.4226	  0.1725	 -0.1619	  0.0000
  8.6745	  0.4226	  0.6480	 -0.4257	  0.0000
  8.7977	  0.4226	  0.5411	 -0.6895	  0.0000
  8.9209	  0.4226	  0.1068	 -0.6573	  0.0000
  9.0440	  0.4226	 -0.4277	 -0.2659	  0.0000
  9.1672	  0.4226	 -0.8565	  0.2195	  0.0000
  9.2903	  0.4226	 -1.1354	  0.5859	  0.0000
  9.4135	  0.4226	 -1.1063	  0.9611	  0.0000
  9.5367	  0.4226	 -0.5490	  1.4912	  0.0000
  9.6598	  0.4226	  0.1854	  1.8289	  0.0000
  9.7830	  0.4226	  0.5027	  1.4410	  0.0000
  9.9062	  0.4226	  0.2657	  0.5196	  0.0000
 10.0293	  0.4226	 -0.0757	 -0.0403	  0.0000
 10.1525	  0.4226	 -0.1300	 -0.0733	  0.0000
 10.2756	  0.4226	 -0.0117	  0.0049	  0.0000
 10.3988	  0.4226	  0.0242	 -0.0255	  0.0000
 10.5220	  0.4226	  0.0164	 -0.0394	  0.0000
