# x	y	u	v	mask
  0.1865	  0.1865	  0.0268	  0.1078	  0.0000
  0.2408	  0.1865	  0.0593	  0.0918	  0.0000
  0.2952	  0.1865	  0.0662	  0.0747	  0.0000
  0.3496	  0.1865	  0.0177	  0.0511	  0.0000
  0.4039	  0.1865	 -0.0689	  0.0185	  0.0000
  0.4583	  0.1865	 -0.1096	 -0.0042	  0.0000
  0.5126	  0.1865	 -0.0812	 -0.0053	  0.0000
  0.5670	  0.1865	 -0.0370	  0.0171	  0.0000
  0.6213	  0.1865	 -0.0077	  0.0445	  0.0000
  0.6757	  0.1865	  0.0051	  0.0279	  0.0000
  0.7300	  0.1865	  0.0136	 -0.0612	  0.0000
  0.7844	  0.1865	  0.0090	 -0.1654	  0.0000
  0.8387	  0.1865	 -0.0640	 -0.2123	  0.0000
  0.8931	  0.1865	 -0.1096	 -0.1452	  0.0000
  0.9474	  0.1865	  0.0865	  0.0918	  0.0000
  1.0018	  0.1865	  0.3716	  0.5842	  0.0000
  1.0562	  0.1865	  0.2106	  0.8425	  0.0000
  1.1105	  0.1865	 -0.6575	  0.4085	  0.0000
  1.1649	  0.1865	 -1.4971	 -0.2316	  0.0000
  1.2192	  0.1865	 -1.4805	 -0.4035	  0.0000
  1.2736	  0.1865	 -0.8348	 -0.1847	  0.0000
  1.3279	  0.1865	 -0.2772	  0.0913	  0.0000
  1.3823	  0.1865	 -0.0847	  0.1813	  0.0000
  1.4366	  0.1865	  0.0212	 -0.0501	  0.0000
  1.4910	  0.1865	  0.3250	 -0.6001	  0.0000
  1.5453	  0.1865	  0.5419	 -0.9169	  0.0000
  1.5997	  0.1865	  0.3095	 -0.4990	  0.0000
  1.6540	  0.1865	 -0.0320	 -0.0069	  0.0000
  1.7084	  0.1865	  0.1015	 -0.4704	  0.0000
  1.7628	  0.1865	  0.4380	 -1.6348	  0.0000
  1.8171	  0.1865	 -0.1165	 -2.3870	  0.0000
  1.8715	  0.1865	 -1.7241	 -2.1614	  0.0000
  1.9258	  0.1865	 -2.7443	 -1.4358	  0.0000
  1.9802	  0.1865	 -1.8561	 -0.7034	  0.0000
  2.0345	  0.1865	 -0.2074	 -0.1811	  0.0000
  2.0889	  0.1865	  0.4870	 -0.0219	  0.0000
  2.1432	  0.1865	  0.2486	 -0.0695	  0.0000
  2.1976	  0.1865	  0.1055	  0.0221	  0.0000
  2.2519	  0.1865	  0.2102	  0.3460	  0.0000
  2.3063	  0.1865	  0.0948	  0.4763	  0.0000
  2.3606	  0.1865	 -0.4437	  0.1577	  0.0000
  2.4150	  0.1865	 -0.8873	 -0.2284	  0.0000
  2.4694	  0.1865	 -0.7391	 -0.2842	  0.0000
  2.5237	  0.1865	 -0.2016	 -0.0770	  0.0000
  2.5781	  0.1865	  0.3361	  0.1218	  0.0000
  2.6324	  0.1865	  0.4460	  0.0405	  0.0000
  2.6868	  0.1865	 -0.2610	  0.2364	  0.0000
  2.7411	  0.1865	 -1.6335	  0.6282	  0.0000
  2.7955	  0.1865	 -2.4898	 -0.2665	  0.0000
  2.8498	  0.1865	 -1.7416	 -3.3897	  0.0000
  2.9042	  0.1865	 -0.0637	 -6.6327	  0.0000
  2.9585	  0.1865	  1.2793	 -7.4340	  0.0000
  3.0129	  0.1865	  1.8707	 -6.0208	  0.0000
  3.0672	  0.1865	  1.5686	 -3.6978	  0.0000
  3.1216	  0.1865	  0.6112	 -1.4923	  0.0000
  3.1760	  0.1865	 -0.2471	 -0.0777	  0.0000
  3.2303	  0.1865	 -0.4133	  0.2339	  0.0000
  3.2847	  0.1865	 -0.1237	  0.0748	  0.0000
  3.3390	  0.1865	  0.2305	  0.1311	  0.0000
  3.3934	  0.1865	  0.5749	  0.3128	  0.0000
  3.4477	  0.1865	  0.9937	  0.2416	  0.0000
  3.5021	  0.1865	  1.4233	 -0.0080	  0.0000
  3.5564	  0.1865	  1.3132	 -0.1765	  0.0000
  3.6108	  0.1865	  0.3212	 -0.1473	  0.0000
  3.6651	  0.1865	 -0.5931	 -0.0469	  0.0000
  3.7195	  0.1865	 -0.4951	 -0.0075	  0.0000
  3.7738	  0.1865	  0.1212	 -0.1013	  0.0000
  3.8282	  0.1865	  0.4384	 -0.3670	  0.0000
  3.8825	  0.1865	  0.3932	 -0.6181	  0.0000
  3.9369	  0.1865	  0.1421	 -0.5724	  0.0000
  3.9913	  0.1865	 -0.3096	 -0.2322	  0.0000
  4.0456	  0.1865	 -0.7641	  0.1954	  0.0000
  4.1000	  0.1865	 -1.0105	  0.5602	  0.0000
  4.1543	  0.1865	 -0.9651	  0.8720	  0.0000
  4.2087	  0.1865	 -0.5072	  1.2574	  0.0000
  4.2630	  0.1865	  0.1636	  1.5858	  0.0000
  4.3174	  0.1865	  0.4335	  1.2989	  0.0000
  4.3717	  0.1865	  0.2169	  0.5038	  0.0000
  4.4261	  0.1865	 -0.0576	 -0.0556	  0.0000
  4.4804	  0.1865	 -0.0818	 -0.1009	  0.0000
  4.5348	  0.1865	 -0.0063	  0.0027	  0.0000
  4.5891	  0.1865	  0.0159	 -0.0432	  0.0000
  4.6435	  0.1865	  0.0309	 -0.0661	  0.0000
  4.6979	  0.1865	  0.0234	  0.2827	  0.0000
  4.7522	  0.1865	 -0.0922	  0.8746	  0.0000
  4.8066	  0.1865	 -0.0828	  0.8884	  0.0000
  4.8609	  0.1865	  0.1021	  0.1904	  0.0000
  4.9153	  0.1865	  0.2215	 -0.3366	  0.0000
  4.9696	  0.1865	  0.1364	 -0.1021	  0.0000
  5.0240	  0.1865	  0.0068	  0.3389	  0.0000
  5.0783	  0.1865	 -0.0179	  0.3589	  0.0000
  5.1327	  0.1865	  0.0088	  0.1160	  0.0000
  5.1870	  0.1865	  0.0142	 -0.0233	  0.0000
  5.2414	  0.1865	 -0.0095	  0.0108	  0.0000
  5.2957	  0.1865	 -0.0063	 -0.0021	  0.0000
  5.3501	  0.1865	  0.0635	 -0.1698	  0.0000
  5.4045	  0.1865	  0.1214	 -0.3004	  0.0000
  5.4588	  0.1865	  0.0793	 -0.2239	  0.0000
  5.5132	  0.1865	 -0.0117	 -0.0560	  0.0000
  5.5675	  0.1865	 -0.0518	  0.0333	  0.0000
  5.6219	  0.1865	 -0.0347	  0.0395	  0.0000
  5.6762	  0.1865	  0.0107	  0.0223	  0.0000
  5.7306	  0.1865	  0.0398	  0.0158	  0.0000
  5.7849	  0.1865	 -0.0161	  0.0197	  0.0000
  5.8393	  0.1865	 -0.2209	  0.0439	  0.0000
  5.8936	  0.1865	 -0.4158	  0.0915	  0.0000
  5.9480	  0.1865	 -0.3833	  0.1361	  0.0000
  6.0023	  0.1865	 -0.1588	  0.1313	  0.0000
  6.0567	  0.1865	  0.0964	  0.0758	  0.0000
  6.1111	  0.1865	  0.2652	  0.0319	  0.0000
  6.1654	  0.1865	  0.2356	  0.0838	  0.0000
  6.2198	  0.1865	  0.0093	  0.2044	  0.0000
  6.2741	  0.1865	 -0.1552	  0.1276	  0.0000
  6.3285	  0.1865	 -0.0373	 -0.4317	  0.0000
  6.3828	  0.1865	  0.1875	 -1.0512	  0.0000
  6.4372	  0.1865	  0.2366	 -0.9572	  0.0000
  6.4915	  0.1865	  0.1197	 -0.2998	  0.0000
  6.5459	  0.1865	  0.0194	  0.1514	  0.0000
  6.6002	  0.1865	  0.0100	  0.1499	  0.0000
  6.6546	  0.1865	  0.0250	  0.0108	  0.0000
  6.7089	  0.1865	  0.0132	 -0.0192	  0.0000
  6.7633	  0.1865	  0.0038	  0.0124	  0.0000
  6.8177	  0.1865	  0.0157	  0.0100	  0.0000
  6.8720	  0.1865	  0.0004	 -0.0087	  0.0000
  6.9264	  0.1865	 -0.0513	  0.0242	  0.0000
  6.9807	  0.1865	 -0.1054	  0.0895	  0.0000
  7.0351	  0.1865	 -0.1613	  0.1100	  0.0000
  7.0894	  0.1865	 -0.2341	  0.0395	  0.0000
  7.1438	  0.1865	 -0.3123	 -0.0574	  0.0000
  7.1981	  0.1865	 -0.4024	 -0.1327	  0.0000
  7.2525	  0.1865	 -0.4287	 -0.1485	  0.0000
  7.3068	  0.1865	 -0.2351	 -0.0157	  0.0000
  7.3612	  0.1865	  0.0602	  0.2658	  0.0000
  7.4155	  0.1865	  0.1355	  0.6302	  0.0000
  7.4699	  0.1865	 -0.1386	  0.9502	  0.0000
  7.5243	  0.1865	 -0.3763	  0.9846	  0.0000
  7.5786	  0.1865	 -0.2732	  0.6028	  0.0000
  7.6330	  0.1865	 -0.0503	  0.1001	  0.0000
  7.6873	  0.1865	  0.0232	 -0.1324	  0.0000
  7.7417	  0.1865	 -0.0087	 -0.0598	  0.0000
  7.7960	  0.1865	 -0.0543	  0.0219	  0.0000
  7.8504	  0.1865	 -0.0875	  0.0034	  0.0000
  7.9047	  0.1865	 -0.1050	 -0.0340	  0.0000
  7.9591	  0.1865	 -0.0950	 -0.0352	  0.0000
  8.0134	  0.1865	 -0.0335	 -0.0249	  0.0000
  8.0678	  0.1865	  0.0475	 -0.0206	  0.0000
  8.1221	  0.1865	  0.0498	 -0.0030	  0.0000
  8.1765	  0.1865	 -0.0496	  0.0291	  0.0000
  8.2309	  0.1865	 -0.1046	 -0.0136	  0.0000
  8.2852	  0.1865	  0.1167	 -0.2523	  0.0000
  8.3396	  0.1865	  0.5569	 -0.5737	  0.0000
  8.3939	  0.1865	  0.7434	 -0.6660	  0.0000
  8.4483	  0.1865	  0.3659	 -0.3507	  0.0000
  8.5026	  0.1865	 -0.1854	  0.0796	  0.0000
  8.5570	  0.1865	 -0.4326	  0.2323	  0.0000
  8.6113	  0.1865	 -0.3737	  0.0934	  0.0000
  8.6657	  0.1865	 -0.1916	 -0.0212	  0.0000
  8.7200	  0.1865	  0.0062	  0.0295	  0.0000
  8.7744	  0.1865	  0.1949	  0.1832	  0.0000
  8.8287	  0.1865	  0.3213	  0.3310	  0.0000
  8.8831	  0.1865	  0.3103	  0.3113	  0.0000
  8.9375	  0.1865	  0.1488	  0.0744	  0.0000
  8.9918	  0.1865	 -0.0400	  0.0136	  0.0000
  9.0462	  0.1865	 -0.1569	  0.5517	  0.0000
  9.1005	  0.1865	 -0.1344	  1.4022	  0.0000
  9.1549	  0.1865	  0.1475	  1.8352	  0.0000
  9.2092	  0.1865	  0.6163	  1.5462	  0.0000
  9.2636	  0.1865	  0.8734	  0.9414	  0.0000
  9.3179	  0.1865	  0.6605	  0.3842	  0.0000
  9.3723	  0.1865	  0.2656	 -0.0046	  0.0000
  9.4266	  0.1865	  0.0453	 -0.1400	  0.0000
  9.4810	  0.1865	  0.0233	 -0.0969	  0.0000
  9.5353	  0.1865	  0.0515	 -0.0354	  0.0000
  9.5897	  0.1865	  0.0740	 -0.0349	  0.0000
  9.6441	  0.1865	  0.0878	 -0.0472	  0.0000
  9.6984	  0.1865	  0.0907	 -0.0387	  0.0000
  9.7528	  0.1865	  0.0878	 -0.0360	  0.0000
  9.8071	  0.1865	  0.0776	 -0.0613	  0.0000
  9.8615	  0.1865	  0.0167	 -0.0553	  0.0000
  9.9158	  0.1865	 -0.1351	  0.0559	  0.0000
  9.9702	  0.1865	 -0.1548	  0.1130	  0.0000
 10.0245	  0.1865	  0.3787	 -0.2141	  0.0000
 10.0789	  0.1865	  1.3627	 -0.8040	  0.0000
 10.1332	  0.1865	  2.0266	 -1.1830	  0.0000
 10.1876	  0.1865	  1.9189	 -1.1276	  0.0000
 10.2419	  0.1865	  1.3726	 -0.8352	  0.0000
 10.2963	  0.1865	  0.7489	 -0.4820	  0.0000
 10.3507	  0.1865	  0.2254	 -0.1601	  0.0000
 10.4050	  0.1865	 -0.1061	  0.0663	  0.0000
 10.4594	  0.1865	 -0.1436	  0.0692	  0.0000
 10.5137	  0.1865	 -0.0479	 -0.0497	  0.0000
 10.5681	  0.1865	  0.0320	 -0.1435	  0.0000
 10.6224	  0.1865	  0.0146	 -0.0398	  0.0000
 10.6768	  0.1865	 -0.1641	  0.3958	  0.0000
 10.7311	  0.1865	 -0.3952	  0.8095	  0.0000
 10.7855	  0.1865	 -0.4924	  0.6313	  0.0000
 10.8398	  0.1865	 -0.4351	 -0.0059	  0.0000
