# x	y	u	v	mask
  0.3756	  0.3756	  0.0133	 -0.0104	  0.0000
  0.4719	  0.3756	  0.0262	 -0.0185	  0.0000
  0.5682	  0.3756	  0.0262	 -0.0233	  0.0000
  0.6644	  0.3756	  0.0003	 -0.0212	  0.0000
  0.7607	  0.3756	 -0.0301	 -0.0156	  0.0000
  0.8570	  0.3756	 -0.0360	 -0.0146	  0.0000
  0.9532	  0.3756	 -0.0089	 -0.0240	  0.0000
  1.0495	  0.3756	  0.0001	 -0.0387	  0.0000
  1.1457	  0.3756	 -0.0264	 -0.0444	  0.0000
  1.2420	  0.3756	 -0.0677	 -0.0284	  0.0000
  1.3383	  0.3756	 -0.1049	  0.0100	  0.0000
  1.4345	  0.3756	 -0.1237	  0.0473	  0.0000
  1.5308	  0.3756	 -0.1109	  0.0572	  0.0000
  1.6271	  0.3756	 -0.0697	  0.0361	  0.0000
  1.7233	  0.3756	 -0.0217	  0.0056	  0.0000
  1.8196	  0.3756	  0.0116	 -0.0122	  0.0000
  1.9159	  0.3756	  0.0223	 -0.0111	  0.0000
  2.0121	  0.3756	  0.0217	 -0.0069	  0.0000
  2.1084	  0.3756	  0.0226	 -0.0172	  0.0000
  2.2047	  0.3756	  0.0300	 -0.0423	  0.0000
  2.3009	  0.3756	  0.0336	 -0.0590	  0.0000
  2.3972	  0.3756	  0.0223	 -0.0438	  0.0000
  2.4935	  0.3756	 -0.0016	  0.0003	  0.0000
  2.5897	  0.3756	 -0.0225	  0.0449	  0.0000
  2.6860	  0.3756	 -0.0253	  0.0623	  0.0000
  2.7823	  0.3756	 -0.0099	  0.0524	  0.0000
  2.8785	  0.3756	  0.0099	  0.0349	  0.0000
  2.9748	  0.3756	  0.0203	  0.0278	  0.0000
  3.0711	  0.3756	  0.0172	  0.0241	  0.0000
  3.1673	  0.3756	  0.0017	  0.0046	  0.0000
  3.2636	  0.3756	 -0.0252	 -0.0503	  0.0000
  3.3599	  0.3756	 -0.0556	 -0.1275	  0.0000
  3.4561	  0.3756	 -0.0756	 -0.1812	  0.0000
  3.5524	  0.3756	 -0.0735	 -0.1715	  0.0000
  3.6487	  0.3756	 -0.0520	 -0.1064	  0.0000
  3.7449	  0.3756	 -0.0204	 -0.0147	  0.0000
  3.8412	  0.3756	  0.0274	  0.0809	  0.0000
  3.9375	  0.3756	  0.0830	  0.1571	  0.0000
  4.0337	  0.3756	  0.0991	  0.1777	  0.0000
  4.1300	  0.3756	  0.0413	  0.1355	  0.0000
  4.2263	  0.3756	 -0.0392	  0.0626	  0.0000
  4.3225	  0.3756	 -0.0597	 -0.0251	  0.0000
  4.4188	  0.3756	  0.0322	 -0.1106	  0.0000
  4.5150	  0.3756	  0.1779	 -0.1734	  0.0000
  4.6113	  0.3756	  0.2936	 -0.1926	  0.0000
  4.7076	  0.3756	  0.3251	 -0.1596	  0.0000
  4.8038	  0.3756	  0.3097	 -0.1132	  0.0000
  4.9001	  0.3756	  0.3015	 -0.1025	  0.0000
  4.9964	  0.3756	  0.3306	 -0.1525	  0.0000
  5.0926	  0.3756	  0.4157	 -0.2217	  0.0000
  5.1889	  0.3756	  0.5806	 -0.2579	  0.0000
  5.2852	  0.3756	  0.8091	 -0.2371	  0.0000
  5.3814	  0.3756	  1.0078	 -0.1903	  0.0000
  5.4777	  0.3756	  1.0786	 -0.1541	  0.0000
  5.5740	  0.3756	  1.0348	 -0.1439	  0.0000
  5.6702	  0.3756	  0.9772	 -0.1508	  0.0000
  5.7665	  0.3756	  1.0010	 -0.1648	  0.0000
  5.8628	  0.3756	  1.1092	 -0.1780	  0.0000
  5.9590	  0.3756	  1.1837	 -0.1853	  0.0000
  6.0553	  0.3756	  1.0959	 -0.1844	  0.0000
