# x	y	u	v	mask
  0.3756	 19.5325	  0.0000	  0.0000	  0.0000
  0.6573	 19.5325	  0.0000	  0.0000	  0.0000
  0.9391	 19.5325	  0.0000	  0.0000	  0.0000
  1.2208	 19.5325	  0.0000	  0.0000	  0.0000
  1.5025	 19.5325	  0.0000	  0.0000	  0.0000
  1.7842	 19.5325	  0.0000	  0.0000	  0.0000
  2.0659	 19.5325	  0.0000	  0.0000	  0.0000
  2.3477	 19.5325	  0.0000	  0.0000	  0.0000
  2.6294	 19.5325	  0.0000	  0.0000	  0.0000
  2.9111	 19.5325	  0.0000	  0.0000	  0.0000
  3.1928	 19.5325	  0.0000	  0.0000	  0.0000
  3.4745	 19.5325	  0.4478	 -0.6168	  0.0000
  3.7562	 19.5325	  0.1768	  0.1045	  0.0000
  4.0380	 19.5325	 -0.0873	  0.1166	  0.0000
  4.3197	 19.5325	 -0.5251	 -0.3212	  0.0000
  4.6014	 19.5325	 -0.2353	 -0.2295	  0.0000
  4.8831	 19.5325	 -0.2996	 -0.1429	  0.0000
  5.1648	 19.5325	 -0.1868	 -0.1121	  0.0000
  5.4466	 19.5325	 -0.1241	 -0.0708	  0.0000
  5.7283	 19.5325	 -0.0710	 -0.0104	  0.0000
  6.0100	 19.5325	 -0.2194	 -0.0322	  0.0000
  6.2917	 19.5325	 -0.0845	 -0.0312	  0.0000
  6.5734	 19.5325	 -0.0784	 -0.0468	  0.0000
  6.8552	 19.5325	 -0.0323	  0.0137	  0.0000
  7.1369	 19.5325	 -0.0374	  0.0091	  0.0000
  7.4186	 19.5325	 -0.1001	 -0.0455	  0.0000
  7.7003	 19.5325	 -0.3772	 -0.0382	  0.0000
  7.9820	 19.5325	 -0.6427	 -0.1656	  0.0000
  8.2637	 19.5325	 -0.8269	 -0.1247	  0.0000
  8.5455	 19.5325	 -0.6510	 -0.0818	  0.0000
  8.8272	 19.5325	 -0.8408	 -0.0711	  0.0000
  9.1089	 19.5325	 -0.8153	 -0.0299	  0.0000
  9.3906	 19.5325	 -1.3376	 -0.0910	  0.0000
  9.6723	 19.5325	 -1.4807	 -0.0984	  0.0000
  9.9541	 19.5325	 -1.9368	 -0.0206	  0.0000
 10.2358	 19.5325	 -1.9574	  0.0322	  0.0000
 10.5175	 19.5325	 -2.3055	  0.1232	  0.0000
 10.7992	 19.5325	 -1.9220	  0.1321	  0.0000
 11.0809	 19.5325	 -1.8721	  0.1444	  0.0000
 11.3626	 19.5325	 -1.6081	  0.2286	  0.0000
 11.6444	 19.5325	 -2.3362	  0.2625	  0.0000
 11.9261	 19.5325	 -1.9715	  0.3871	  0.0000
 12.2078	 19.5325	 -2.0580	  0.1062	  0.0000
 12.4895	 19.5325	 -1.3611	  0.1959	  0.0000
 12.7712	 19.5325	 -2.6692	  0.6001	  0.0000
 13.0530	 19.5325	 -1.8743	  0.3302	  0.0000
 13.3347	 19.5325	 -1.5496	  0.3813	  0.0000
 13.6164	 19.5325	 -1.8678	  0.9542	  0.0000
 13.8981	 19.5325	 -2.4598	  1.0832	  0.0000
 14.1798	 19.5325	 -2.0538	  1.1017	  0.0000
 14.4616	 19.5325	 -2.2722	  1.2688	  0.0000
 14.7433	 19.5325	 -1.9462	  0.8801	  0.0000
 15.0250	 19.5325	 -1.7087	  0.9427	  0.0000
 15.3067	 19.5325	 -1.3259	  0.8687	  0.0000
 15.5884	 19.5325	 -0.9112	  0.3348	  0.0000
 15.8701	 19.5325	 -0.5071	  0.0290	  0.0000
 16.1519	 19.5325	 -0.0595	  0.0518	  0.0000
 16.4336	 19.5325	  0.5955	 -0.9126	  0.0000
 16.7153	 19.5325	  0.0000	  0.0000	  0.0000
 16.9970	 19.5325	  0.0000	  0.0000	  0.0000
 17.2787	 19.5325	  0.0000	  0.0000	  0.0000
 17.5605	 19.5325	  0.0000	  0.0000	  0.0000
 17.8422	 19.5325	  0.0000	  0.0000	  0.0000
 18.1239	 19.5325	  0.0000	  0.0000	  0.0000
 18.4056	 19.5325	  0.0000	  0.0000	  0.0000
 18.6873	 19.5325	  0.0000	  0.0000	  0.0000
 18.9691	 19.5325	  0.0000	  0.0000	  0.0000
 19.2508	 19.5325	  0.0000	  0.0000	  0.0000
 19.5325	 19.5325	  0.0000	  0.0000	  0.0000
  0.3756	 19.2508	  0.0000	  0.0000	  0.0000
  0.6573	 19.2508	  0.0000	  0.0000	  0.0000
  0.9391	 19.2508	  0.0000	  0.0000	  0.0000
  1.2208	 19.2508	  0.0000	  0.0000	  0.0000
  1.5025	 19.2508	  0.0000	  0.0000	  0.0000
  1.7842	 19.2508	  0.0000	  0.0000	  0.0000
  2.0659	 19.2508	  0.0000	  0.0000	  0.0000
  2.3477	 19.2508	  0.0000	  0.0000	  0.0000
  2.6294	 19.2508	  0.0000	  0.0000	  0.0000
  2.9111	 19.2508	 -0.3065	 -0.3266	  0.0000
  3.1928	 19.2508	 -0.0309	  0.0563	  0.0000
  3.4745	 19.2508	 -0.1007	 -0.0192	  0.0000
  3.7562	 19.2508	 -0.5438	  0.0228	  0.0000
  4.0380	 19.2508	 -0.7359	 -0.3970	  0.0000
  4.3197	 19.2508	 -1.0679	 -0.4895	  0.0000
  4.6014	 19.2508	 -0.4861	 -0.3474	  0.0000
  4.8831	 19.2508	 -0.3975	 -0.3319	  0.0000
  5.1648	 19.2508	 -0.4665	 -0.2060	  0.0000
  5.4466	 19.2508	 -0.1656	 -0.0520	  0.0000
  5.7283	 19.2508	 -0.0121	 -0.0385	  0.0000
  6.0100	 19.2508	  0.0071	  0.0047	  0.0000
  6.2917	 19.2508	 -0.0008	  0.0412	  0.0000
  6.5734	 19.2508	  0.0138	  0.0238	  0.0000
  6.8552	 19.2508	 -0.0262	 -0.0202	  0.0000
  7.1369	 19.2508	 -0.0689	  0.0124	  0.0000
  7.4186	 19.2508	 -0.2491	 -0.0753	  0.0000
  7.7003	 19.2508	 -0.6303	 -0.1792	  0.0000
  7.9820	 19.2508	 -0.9804	 -0.2281	  0.0000
  8.2637	 19.2508	 -1.0670	 -0.1947	  0.0000
  8.5455	 19.2508	 -1.2158	 -0.1718	  0.0000
  8.8272	 19.2508	 -1.5871	 -0.1173	  0.0000
  9.1089	 19.2508	 -1.7743	 -0.0998	  0.0000
  9.3906	 19.2508	 -2.1727	 -0.1280	  0.0000
  9.6723	 19.2508	 -1.9850	 -0.1136	  0.0000
  9.9541	 19.2508	 -2.2721	 -0.0124	  0.0000
 10.2358	 19.2508	 -2.1340	  0.1999	  0.0000
 10.5175	 19.2508	 -2.4762	  0.0977	  0.0000
 10.7992	 19.2508	 -1.9993	  0.1376	  0.0000
 11.0809	 19.2508	 -2.0699	  0.2859	  0.0000
 11.3626	 19.2508	 -1.9064	  0.3134	  0.0000
 11.6444	 19.2508	 -2.4255	  0.3855	  0.0000
 11.9261	 19.2508	 -1.9557	  0.4076	  0.0000
 12.2078	 19.2508	 -2.4926	  0.3146	  0.0000
 12.4895	 19.2508	 -2.0005	  0.4110	  0.0000
 12.7712	 19.2508	 -2.3089	  0.5118	  0.0000
 13.0530	 19.2508	 -1.9526	  0.4211	  0.0000
 13.3347	 19.2508	 -1.7989	  0.1550	  0.0000
 13.6164	 19.2508	 -0.8011	  0.3482	  0.0000
 13.8981	 19.2508	 -1.9635	  0.4450	  0.0000
 14.1798	 19.2508	 -2.0385	  0.8792	  0.0000
 14.4616	 19.2508	 -2.3050	  0.9475	  0.0000
 14.7433	 19.2508	 -1.7944	  0.6359	  0.0000
 15.0250	 19.2508	 -1.8088	  1.0139	  0.0000
 15.3067	 19.2508	 -1.8760	  1.1437	  0.0000
 15.5884	 19.2508	 -1.9603	  0.8744	  0.0000
 15.8701	 19.2508	 -1.6088	  0.9204	  0.0000
 16.1519	 19.2508	 -1.6193	  0.4781	  0.0000
 16.4336	 19.2508	 -0.3763	  0.0094	  0.0000
 16.7153	 19.2508	  0.0189	  0.0334	  0.0000
 16.9970	 19.2508	  0.0245	  0.0400	  0.0000
 17.2787	 19.2508	  0.0368	  0.0600	  0.0000
 17.5605	 19.2508	  0.6309	 -0.0000	  0.0000
 17.8422	 19.2508	  0.0000	  0.0000	  0.0000
 18.1239	 19.2508	  0.0000	  0.0000	  0.0000
 18.4056	 19.2508	  0.0000	  0.0000	  0.0000
 18.6873	 19.2508	  0.0000	  0.0000	  0.0000
 18.9691	 19.2508	  0.0000	  0.0000	  0.0000
 19.2508	 19.2508	  0.0000	  0.0000	  0.0000
 19.5325	 19.2508	  0.0000	  0.0000	  0.0000
  0.3756	 18.9691	  0.0000	  0.0000	  0.0000
  0.6573	 18.9691	  0.0000	  0.0000	  0.0000
  0.9391	 18.9691	  0.0000	  0.0000	  0.0000
  1.2208	 18.9691	  0.0000	  0.0000	  0.0000
  1.5025	 18.9691	  0.0000	  0.0000	  0.0000
  1.7842	 18.9691	  0.0000	  0.0000	  0.0000
  2.0659	 18.9691	  0.0000	  0.0000	  0.0000
  2.3477	 18.9691	  0.0000	  0.0000	  0.0000
  2.6294	 18.9691	  1.0039	 -2.4173	  0.0000
  2.9111	 18.9691	 -0.2347	 -0.4534	  0.0000
  3.1928	 18.9691	 -0.2246	 -0.1279	  0.0000
  3.4745	 18.9691	 -0.4011	 -0.0332	  0.0000
  3.7562	 18.9691	 -0.8939	 -0.5747	  0.0000
  4.0380	 18.9691	 -0.9711	 -0.7929	  0.0000
  4.3197	 18.9691	 -1.3766	 -0.8851	  0.0000
  4.6014	 18.9691	 -1.2013	 -0.8415	  0.0000
  4.8831	 18.9691	 -0.3757	 -0.2489	  0.0000
  5.1648	 18.9691	  0.0073	 -0.0983	  0.0000
  5.4466	 18.9691	  0.0561	  0.0143	  0.0000
  5.7283	 18.9691	 -0.0085	 -0.0101	  0.0000
  6.0100	 18.9691	 -0.0113	 -0.0039	  0.0000
  6.2917	 18.9691	 -0.0064	  0.0166	  0.0000
  6.5734	 18.9691	 -0.0676	  0.0050	  0.0000
  6.8552	 18.9691	 -0.1834	 -0.0147	  0.0000
  7.1369	 18.9691	 -0.3546	 -0.1057	  0.0000
  7.4186	 18.9691	 -0.8551	 -0.2304	  0.0000
  7.7003	 18.9691	 -2.0297	 -0.5685	  0.0000
  7.9820	 18.9691	 -1.9758	 -0.5396	  0.0000
  8.2637	 18.9691	 -2.0235	 -0.4195	  0.0000
  8.5455	 18.9691	 -1.8618	 -0.3387	  0.0000
  8.8272	 18.9691	 -2.0659	 -0.3653	  0.0000
  9.1089	 18.9691	 -2.0438	 -0.3147	  0.0000
  9.3906	 18.9691	 -2.1295	 -0.1658	  0.0000
  9.6723	 18.9691	 -1.9976	 -0.1468	  0.0000
  9.9541	 18.9691	 -2.1866	 -0.0411	  0.0000
 10.2358	 18.9691	 -2.3316	  0.1310	  0.0000
 10.5175	 18.9691	 -2.6573	  0.0861	  0.0000
 10.7992	 18.9691	 -2.2675	  0.2514	  0.0000
 11.0809	 18.9691	 -2.5132	  0.2935	  0.0000
 11.3626	 18.9691	 -2.3439	  0.4607	  0.0000
 11.6444	 18.9691	 -2.4708	  0.5774	  0.0000
 11.9261	 18.9691	 -2.2539	  0.6165	  0.0000
 12.2078	 18.9691	 -2.4782	  0.7365	  0.0000
 12.4895	 18.9691	 -2.2788	  0.7310	  0.0000
 12.7712	 18.9691	 -2.6489	  0.9645	  0.0000
 13.0530	 18.9691	 -2.1241	  0.7168	  0.0000
 13.3347	 18.9691	 -2.0163	  0.8188	  0.0000
 13.6164	 18.9691	 -2.1232	  0.8636	  0.0000
 13.8981	 18.9691	 -2.1923	  0.4891	  0.0000
 14.1798	 18.9691	 -1.2162	  0.6128	  0.0000
 14.4616	 18.9691	 -1.8294	  0.6696	  0.0000
 14.7433	 18.9691	 -1.8832	  0.3203	  0.0000
 15.0250	 18.9691	 -2.1545	  0.9482	  0.0000
 15.3067	 18.9691	 -1.7876	  1.3708	  0.0000
 15.5884	 18.9691	 -2.0522	  1.5205	  0.0000
 15.8701	 18.9691	 -1.6903	  1.4809	  0.0000
 16.1519	 18.9691	 -1.9305	  1.4815	  0.0000
 16.4336	 18.9691	 -1.1640	  1.4703	  0.0000
 16.7153	 18.9691	 -0.4290	  0.5609	  0.0000
 16.9970	 18.9691	  0.0147	  0.0162	  0.0000
 17.2787	 18.9691	  0.0183	  0.0203	  0.0000
 17.5605	 18.9691	  0.2085	  0.0002	  0.0000
 17.8422	 18.9691	  0.0000	  0.0000	  0.0000
 18.1239	 18.9691	  0.0000	  0.0000	  0.0000
 18.4056	 18.9691	  0.0000	  0.0000	  0.0000
 18.6873	 18.9691	  0.0000	  0.0000	  0.0000
 18.9691	 18.9691	  0.0000	  0.0000	  0.0000
 19.2508	 18.9691	  0.0000	  0.0000	  0.0000
 19.5325	 18.9691	  0.0000	  0.0000	  0.0000
  0.3756	 18.6873	  0.0000	  0.0000	  0.0000
  0.6573	 18.6873	  0.0000	  0.0000	  0.0000
  0.9391	 18.6873	  0.0000	  0.0000	  0.0000
  1.2208	 18.6873	  0.0000	  0.0000	  0.0000
  1.5025	 18.6873	  0.0000	  0.0000	  0.0000
  1.7842	 18.6873	  0.0000	  0.0000	  0.0000
  2.0659	 18.6873	  0.0000	  0.0000	  0.0000
  2.3477	 18.6873	 -0.1828	 -0.2462	  0.0000
  2.6294	 18.6873	 -0.2248	 -0.3754	  0.0000
  2.9111	 18.6873	  0.0188	 -0.3726	  0.0000
  3.1928	 18.6873	 -0.3550	 -0.2770	  0.0000
  3.4745	 18.6873	 -0.4912	 -0.3112	  0.0000
  3.7562	 18.6873	 -1.1469	 -0.6651	  0.0000
  4.0380	 18.6873	 -1.3252	 -0.8323	  0.0000
  4.3197	 18.6873	 -0.8860	 -0.6106	  0.0000
  4.6014	 18.6873	 -0.3709	 -0.4149	  0.0000
  4.8831	 18.6873	 -0.0946	 -0.0284	  0.0000
  5.1648	 18.6873	 -0.0522	 -0.0575	  0.0000
  5.4466	 18.6873	  0.0069	  0.0059	  0.0000
  5.7283	 18.6873	 -0.0194	 -0.0000	  0.0000
  6.0100	 18.6873	 -0.0629	 -0.0204	  0.0000
  6.2917	 18.6873	 -0.1618	 -0.0499	  0.0000
  6.5734	 18.6873	 -0.6101	 -0.1686	  0.0000
  6.8552	 18.6873	 -0.9322	 -0.3284	  0.0000
  7.1369	 18.6873	 -1.7725	 -0.6242	  0.0000
  7.4186	 18.6873	 -1.7989	 -0.4898	  0.0000
  7.7003	 18.6873	 -1.8705	 -0.4351	  0.0000
  7.9820	 18.6873	 -2.0240	 -0.3624	  0.0000
  8.2637	 18.6873	 -2.0688	 -0.3526	  0.0000
  8.5455	 18.6873	 -2.0935	 -0.4050	  0.0000
  8.8272	 18.6873	 -2.3977	 -0.3825	  0.0000
  9.1089	 18.6873	 -2.2447	 -0.3420	  0.0000
  9.3906	 18.6873	 -2.2049	 -0.1260	  0.0000
  9.6723	 18.6873	 -2.2494	 -0.1049	  0.0000
  9.9541	 18.6873	 -2.3856	 -0.0564	  0.0000
 10.2358	 18.6873	 -2.5252	  0.0172	  0.0000
 10.5175	 18.6873	 -2.7498	  0.1091	  0.0000
 10.7992	 18.6873	 -2.5644	  0.1777	  0.0000
 11.0809	 18.6873	 -2.6782	  0.2829	  0.0000
 11.3626	 18.6873	 -2.3513	  0.2886	  0.0000
 11.6444	 18.6873	 -2.5241	  0.4246	  0.0000
 11.9261	 18.6873	 -2.1706	  0.5081	  0.0000
 12.2078	 18.6873	 -2.3703	  0.5804	  0.0000
 12.4895	 18.6873	 -2.1807	  0.6630	  0.0000
 12.7712	 18.6873	 -2.2775	  0.8952	  0.0000
 13.0530	 18.6873	 -2.1267	  0.8093	  0.0000
 13.3347	 18.6873	 -2.1888	  0.8721	  0.0000
 13.6164	 18.6873	 -2.0395	  0.8538	  0.0000
 13.8981	 18.6873	 -2.1236	  0.6875	  0.0000
 14.1798	 18.6873	 -1.4756	  0.7439	  0.0000
 14.4616	 18.6873	 -1.8315	  0.4545	  0.0000
 14.7433	 18.6873	 -0.7577	  0.0308	  0.0000
 15.0250	 18.6873	 -1.2278	  0.0262	  0.0000
 15.3067	 18.6873	 -1.7249	  0.7509	  0.0000
 15.5884	 18.6873	 -1.6192	  1.0495	  0.0000
 15.8701	 18.6873	 -1.4677	  1.3446	  0.0000
 16.1519	 18.6873	 -1.4290	  1.1703	  0.0000
 16.4336	 18.6873	 -1.1169	  0.6678	  0.0000
 16.7153	 18.6873	 -0.9746	  0.7754	  0.0000
 16.9970	 18.6873	 -0.2975	  0.0882	  0.0000
 17.2787	 18.6873	 -0.3253	  0.1834	  0.0000
 17.5605	 18.6873	  0.0709	  0.0061	  0.0000
 17.8422	 18.6873	  0.0608	  0.0029	  0.0000
 18.1239	 18.6873	  0.2586	  0.0064	  0.0000
 18.4056	 18.6873	  0.0000	  0.0000	  0.0000
 18.6873	 18.6873	  0.0000	  0.0000	  0.0000
 18.9691	 18.6873	  0.0000	  0.0000	  0.0000
 19.2508	 18.6873	  0.0000	  0.0000	  0.0000
 19.5325	 18.6873	  0.0000	  0.0000	  0.0000
  0.3756	 18.4056	  0.0000	  0.0000	  0.0000
  0.6573	 18.4056	  0.0000	  0.0000	  0.0000
  0.9391	 18.4056	  0.0000	  0.0000	  0.0000
  1.2208	 18.4056	  0.0000	  0.0000	  0.0000
  1.5025	 18.4056	  0.0000	  0.0000	  0.0000
  1.7842	 18.4056	  0.0000	  0.0000	  0.0000
  2.0659	 18.4056	  0.0000	  0.0000	  0.0000
  2.3477	 18.4056	 -0.0783	 -0.0079	  0.0000
  2.6294	 18.4056	 -0.1705	 -0.2131	  0.0000
  2.9111	 18.4056	 -0.3480	 -0.6082	  0.0000
  3.1928	 18.4056	 -0.6511	 -0.6718	  0.0000
  3.4745	 18.4056	 -0.8361	 -0.6105	  0.0000
  3.7562	 18.4056	 -1.1705	 -0.7833	  0.0000
  4.0380	 18.4056	 -0.6824	 -0.4412	  0.0000
  4.3197	 18.4056	 -0.5395	 -0.4584	  0.0000
  4.6014	 18.4056	 -0.2737	 -0.1705	  0.0000
  4.8831	 18.4056	 -0.0622	  0.0074	  0.0000
  5.1648	 18.4056	 -0.0623	 -0.0590	  0.0000
  5.4466	 18.4056	 -0.0504	 -0.0115	  0.0000
  5.7283	 18.4056	 -0.1855	 -0.0556	  0.0000
  6.0100	 18.4056	 -0.6219	 -0.3353	  0.0000
  6.2917	 18.4056	 -1.1831	 -0.5624	  0.0000
  6.5734	 18.4056	 -2.0168	 -0.7050	  0.0000
  6.8552	 18.4056	 -1.9692	 -0.7048	  0.0000
  7.1369	 18.4056	 -2.1533	 -0.7127	  0.0000
  7.4186	 18.4056	 -1.9131	 -0.6868	  0.0000
  7.7003	 18.4056	 -2.0546	 -0.5990	  0.0000
  7.9820	 18.4056	 -2.0851	 -0.5346	  0.0000
  8.2637	 18.4056	 -2.2003	 -0.3826	  0.0000
  8.5455	 18.4056	 -2.1569	 -0.3939	  0.0000
  8.8272	 18.4056	 -2.3746	 -0.2955	  0.0000
  9.1089	 18.4056	 -2.1705	 -0.2589	  0.0000
  9.3906	 18.4056	 -2.1667	 -0.0587	  0.0000
