# x	y	u	v	mask
  0.4930	 19.3662	  0.0000	  0.0000	  0.0000
  0.7746	 19.3662	  0.0000	  0.0000	  0.0000
  1.0563	 19.3662	  0.0000	  0.0000	  0.0000
  1.3380	 19.3662	  0.0000	  0.0000	  0.0000
  1.6197	 19.3662	  0.0000	  0.0000	  0.0000
  1.9014	 19.3662	  0.0000	  0.0000	  0.0000
  2.1831	 19.3662	  0.0000	  0.0000	  0.0000
  2.4648	 19.3662	  0.0000	  0.0000	  0.0000
  2.7465	 19.3662	  0.0000	  0.0000	  0.0000
  3.0282	 19.3662	  0.0000	  0.0000	  0.0000
  3.3099	 19.3662	  0.0000	  0.0000	  0.0000
  3.5915	 19.3662	  0.0000	  0.0000	  0.0000
  3.8732	 19.3662	  0.0000	  0.0000	  0.0000
  4.1549	 19.3662	 -0.3831	 -0.8387	  0.0000
  4.4366	 19.3662	 -2.7334	 -1.6795	  0.0000
  4.7183	 19.3662	 -2.2591	 -0.7045	  0.0000
  5.0000	 19.3662	 -1.0911	 -0.7659	  0.0000
  5.2817	 19.3662	 -0.6063	 -0.5566	  0.0000
  5.5634	 19.3662	 -1.2278	 -0.4290	  0.0000
  5.8451	 19.3662	 -0.8555	 -0.0864	  0.0000
  6.1268	 19.3662	 -0.7805	 -0.1529	  0.0000
  6.4085	 19.3662	 -0.2928	  0.0411	  0.0000
  6.6901	 19.3662	 -0.4762	 -0.2493	  0.0000
  6.9718	 19.3662	 -0.4415	 -0.0494	  0.0000
  7.2535	 19.3662	 -0.3958	  0.0217	  0.0000
  7.5352	 19.3662	 -0.2299	 -0.0771	  0.0000
  7.8169	 19.3662	 -0.6737	 -0.1756	  0.0000
  8.0986	 19.3662	 -0.7167	 -0.1747	  0.0000
  8.3803	 19.3662	 -0.9776	 -0.1423	  0.0000
  8.6620	 19.3662	 -0.8588	 -0.1050	  0.0000
  8.9437	 19.3662	 -1.0556	 -0.0970	  0.0000
  9.2254	 19.3662	 -1.4063	 -0.1055	  0.0000
  9.5070	 19.3662	 -2.2680	 -0.0737	  0.0000
  9.7887	 19.3662	 -2.8578	  0.0842	  0.0000
 10.0704	 19.3662	 -3.2993	  0.0272	  0.0000
 10.3521	 19.3662	 -3.3165	 -0.1477	  0.0000
 10.6338	 19.3662	 -3.5364	  0.1001	  0.0000
 10.9155	 19.3662	 -3.2484	  0.0237	  0.0000
 11.1972	 19.3662	 -3.5126	  0.1076	  0.0000
 11.4789	 19.3662	 -2.9658	  0.1036	  0.0000
 11.7606	 19.3662	 -3.5781	  0.2399	  0.0000
 12.0423	 19.3662	 -2.6083	  0.1311	  0.0000
 12.3239	 19.3662	 -2.5597	 -0.0760	  0.0000
 12.6056	 19.3662	 -2.4698	  0.2656	  0.0000
 12.8873	 19.3662	 -2.9058	  0.4447	  0.0000
 13.1690	 19.3662	 -2.7124	  0.7825	  0.0000
 13.4507	 19.3662	 -2.0123	  0.7164	  0.0000
 13.7324	 19.3662	 -1.9457	  0.9958	  0.0000
