# x	y	u	v	mask
  0.4930	 19.3682	  0.0000	  0.0000	  0.0000
  0.7747	 19.3682	  0.0000	  0.0000	  0.0000
  1.0564	 19.3682	  0.0000	  0.0000	  0.0000
  1.3382	 19.3682	  0.0000	  0.0000	  0.0000
  1.6199	 19.3682	  0.0000	  0.0000	  0.0000
  1.9016	 19.3682	  0.0000	  0.0000	  0.0000
  2.1833	 19.3682	  0.0000	  0.0000	  0.0000
  2.4650	 19.3682	  0.0000	  0.0000	  0.0000
  2.7468	 19.3682	  0.0000	  0.0000	  0.0000
  3.0285	 19.3682	  0.0000	  0.0000	  0.0000
  3.3102	 19.3682	  0.0000	  0.0000	  0.0000
  3.5919	 19.3682	  0.0000	  0.0000	  0.0000
  3.8736	 19.3682	  0.0000	  0.0000	  0.0000
  4.1553	 19.3682	  0.1466	 -0.1905	  0.0000
  4.4371	 19.3682	 -0.4806	 -0.3110	  0.0000
  4.7188	 19.3682	 -0.7053	 -0.5820	  0.0000
  5.0005	 19.3682	 -1.6019	 -0.8681	  0.0000
  5.2822	 19.3682	 -1.8989	 -0.9037	  0.0000
  5.5639	 19.3682	 -2.1748	 -0.8423	  0.0000
  5.8457	 19.3682	 -1.4494	 -0.7179	  0.0000
  6.1274	 19.3682	 -1.5196	 -0.5018	  0.0000
  6.4091	 19.3682	 -1.0879	 -0.3840	  0.0000
  6.6908	 19.3682	 -0.8448	 -0.2264	  0.0000
  6.9725	 19.3682	 -0.3274	 -0.1298	  0.0000
  7.2543	 19.3682	 -0.2659	 -0.0330	  0.0000
  7.5360	 19.3682	 -0.2400	 -0.0376	  0.0000
  7.8177	 19.3682	 -0.7415	 -0.1305	  0.0000
  8.0994	 19.3682	 -0.8325	 -0.0407	  0.0000
  8.3811	 19.3682	 -1.1259	 -0.1164	  0.0000
  8.6628	 19.3682	 -1.5028	 -0.1268	  0.0000
  8.9446	 19.3682	 -1.7617	 -0.1725	  0.0000
  9.2263	 19.3682	 -1.7031	 -0.0882	  0.0000
  9.5080	 19.3682	 -2.3410	 -0.1390	  0.0000
  9.7897	 19.3682	 -3.0123	 -0.0931	  0.0000
 10.0714	 19.3682	 -3.7712	 -0.0553	  0.0000
 10.3532	 19.3682	 -3.3570	  0.0807	  0.0000
 10.6349	 19.3682	 -3.5096	  0.1487	  0.0000
 10.9166	 19.3682	 -2.6928	  0.1772	  0.0000
 11.1983	 19.3682	 -2.8423	  0.2537	  0.0000
 11.4800	 19.3682	 -2.8256	  0.2849	  0.0000
 11.7618	 19.3682	 -3.5646	  0.3437	  0.0000
 12.0435	 19.3682	 -2.9940	  0.3695	  0.0000
 12.3252	 19.3682	 -3.4003	  0.4991	  0.0000
 12.6069	 19.3682	 -3.0303	  0.3652	  0.0000
 12.8886	 19.3682	 -3.5796	  0.6629	  0.0000
 13.1703	 19.3682	 -2.8926	  0.9381	  0.0000
 13.4521	 19.3682	 -3.1691	  1.1299	  0.0000
 13.7338	 19.3682	 -3.3806	  1.3307	  0.0000
 14.0155	 19.3682	 -4.0350	  1.5788	  0.0000
 14.2972	 19.3682	 -3.9033	  1.7300	  0.0000
 14.5789	 19.3682	 -4.1060	  2.0694	  0.0000
 14.8607	 19.3682	 -3.3028	  1.9770	  0.0000
 15.1424	 19.3682	 -2.9504	  1.6765	  0.0000
 15.4241	 19.3682	 -2.5661	  1.9248	  0.0000
 15.7058	 19.3682	 -4.1190	  2.2634	  0.0000
 15.9875	 19.3682	 -1.7797	  0.9793	  0.0000
 16.2692	 19.3682	  0.0000	  0.0000	  0.0000
 16.5510	 19.3682	  0.0000	  0.0000	  0.0000
 16.8327	 19.3682	  0.0000	  0.0000	  0.0000
 17.1144	 19.3682	  0.0000	  0.0000	  0.0000
 17.3961	 19.3682	  0.0000	  0.0000	  0.0000
 17.6778	 19.3682	  0.0000	  0.0000	  0.0000
 17.9596	 19.3682	  0.0000	  0.0000	  0.0000
 18.2413	 19.3682	  0.0000	  0.0000	  0.0000
 18.5230	 19.3682	  0.0000	  0.0000	  0.0000
 18.8047	 19.3682	  0.0000	  0.0000	  0.0000
 19.0864	 19.3682	  0.0000	  0.0000	  0.0000
 19.3682	 19.3682	  0.0000	  0.0000	  0.0000
  0.4930	 19.0864	  0.0000	  0.0000	  0.0000
  0.7747	 19.0864	  0.0000	  0.0000	  0.0000
  1.0564	 19.0864	  0.0000	  0.0000	  0.0000
  1.3382	 19.0864	  0.0000	  0.0000	  0.0000
  1.6199	 19.0864	  0.0000	  0.0000	  0.0000
  1.9016	 19.0864	  0.0000	  0.0000	  0.0000
  2.1833	 19.0864	  0.0000	  0.0000	  0.0000
  2.4650	 19.0864	  0.0000	  0.0000	  0.0000
  2.7468	 19.0864	  0.0000	  0.0000	  0.0000
  3.0285	 19.0864	  0.0000	  0.0000	  0.0000
  3.3102	 19.0864	  0.0000	  0.0000	  0.0000
  3.5919	 19.0864	 -0.2517	  0.4210	  0.0000
  3.8736	 19.0864	 -1.8176	 -0.3042	  0.0000
  4.1553	 19.0864	 -1.5753	 -1.0379	  0.0000
  4.4371	 19.0864	 -1.7137	 -1.0255	  0.0000
