# x	y	u	v	mask
  0.1865	 11.0029	  0.0000	  0.0000	  0.0000
  0.3108	 11.0029	  0.0000	  0.0000	  0.0000
  0.4351	 11.0029	  0.0000	  0.0000	  0.0000
  0.5595	 11.0029	  0.0000	  0.0000	  0.0000
  0.6838	 11.0029	  0.0000	  0.0000	  0.0000
  0.8081	 11.0029	  0.0000	  0.0000	  0.0000
  0.9324	 11.0029	  0.0000	  0.0000	  0.0000
  1.0568	 11.0029	  0.0000	  0.0000	  0.0000
  1.1811	 11.0029	  0.0000	  0.0000	  0.0000
  1.3054	 11.0029	  0.0000	  0.0000	  0.0000
  1.4298	 11.0029	  0.0000	  0.0000	  0.0000
  1.5541	 11.0029	  0.0000	  0.0000	  0.0000
  1.6784	 11.0029	  0.0000	  0.0000	  0.0000
  1.8027	 11.0029	  0.0000	  0.0000	  0.0000
  1.9271	 11.0029	  0.0000	  0.0000	  0.0000
  2.0514	 11.0029	  0.0000	  0.0000	  0.0000
  2.1757	 11.0029	 -6.1733	 -4.8904	  0.0000
  2.3000	 11.0029	  0.5000	  0.0181	  0.0000
  2.4244	 11.0029	  0.4998	  0.0182	  0.0000
  2.5487	 11.0029	  3.7347	  3.0257	  0.0000
  2.6730	 11.0029	  0.0000	  0.0000	  0.0000
  2.7973	 11.0029	  0.0000	  0.0000	  0.0000
  2.9217	 11.0029	  0.0000	  0.0000	  0.0000
  3.0460	 11.0029	  0.0000	  0.0000	  0.0000
  3.1703	 11.0029	  0.0000	  0.0000	  0.0000
  3.2947	 11.0029	  0.0000	  0.0000	  0.0000
  3.4190	 11.0029	  0.0000	  0.0000	  0.0000
  3.5433	 11.0029	  0.0000	  0.0000	  0.0000
  3.6676	 11.0029	  0.0000	  0.0000	  0.0000
  3.7920	 11.0029	  0.0000	  0.0000	  0.0000
  3.9163	 11.0029	  0.0000	  0.0000	  0.0000
  4.0406	 11.0029	 -0.0162	  0.0012	  0.0000
  4.1649	 11.0029	 -0.0324	  0.0002	  0.0000
  4.2893	 11.0029	  0.0000	  0.0000	  0.0000
  4.4136	 11.0029	 -0.0067	  0.0466	  0.0000
  4.5379	 11.0029	  0.1642	 -0.8817	  0.0000
  4.6622	 11.0029	 -0.1113	 -0.2147	  0.0000
  4.7866	 11.0029	 -0.0803	 -0.1490	  0.0000
  4.9109	 11.0029	  0.2380	 -0.0009	  0.0000
  5.0352	 11.0029	  0.0080	  0.1100	  0.0000
  5.1596	 11.0029	  0.1249	  0.0030	  0.0000
  5.2839	 11.0029	  0.1328	  0.0141	  0.0000
  5.4082	 11.0029	 -0.0095	  0.0128	  0.0000
  5.5325	 11.0029	  0.0190	  0.1288	  0.0000
  5.6569	 11.0029	  0.2684	 -0.1297	  0.0000
  5.7812	 11.0029	  0.1732	 -0.1172	  0.0000
  5.9055	 11.0029	 -0.0101	  0.0031	  0.0000
  6.0298	 11.0029	  0.0109	 -0.0072	  0.0000
  6.1542	 11.0029	  0.0190	 -0.0118	  0.0000
  6.2785	 11.0029	  0.0210	 -0.0156	  0.0000
  6.4028	 11.0029	 -0.0186	 -0.0139	  0.0000
  6.5271	 11.0029	 -0.2033	  0.4369	  0.0000
  6.6515	 11.0029	 -0.0324	  0.0037	  0.0000
  6.7758	 11.0029	 -0.0725	  0.0248	  0.0000
  6.9001	 11.0029	  0.0321	  0.2372	  0.0000
  7.0245	 11.0029	  0.0650	 -0.2371	  0.0000
  7.1488	 11.0029	 -0.1222	  0.0771	  0.0000
  7.2731	 11.0029	 -0.0271	  0.0272	  0.0000
  7.3974	 11.0029	 -0.0307	  0.0271	  0.0000
  7.5218	 11.0029	  0.0558	  0.2967	  0.0000
