# x	y	u	v	mask
  0.4411	  0.3947	  0.0000	  0.0000	  0.0000
  0.5363	  0.3947	 -0.0031	  0.0039	  0.0000
  0.6316	  0.3947	 -0.0038	  0.0047	  0.0000
  0.7268	  0.3947	  0.0005	 -0.0006	  0.0000
  0.8220	  0.3947	  0.0048	 -0.0055	  0.0000
  0.9172	  0.3947	  0.0042	 -0.0046	  0.0000
  1.0124	  0.3947	 -0.0011	  0.0011	  0.0000
  1.1076	  0.3947	 -0.0086	  0.0083	  0.0000
  1.2028	  0.3947	 -0.0097	  0.0092	  0.0000
  1.2980	  0.3947	  0.0048	 -0.0044	  0.0000
  1.3932	  0.3947	  0.0257	 -0.0226	  0.0000
  1.4884	  0.3947	  0.0261	 -0.0225	  0.0000
  1.5836	  0.3947	 -0.0160	  0.0122	  0.0000
  1.6788	  0.3947	 -0.0572	  0.0252	  0.0000
  1.7740	  0.3947	 -0.0801	  0.0115	  0.0000
  1.8692	  0.3947	 -0.0875	 -0.0068	  0.0000
  1.9644	  0.3947	 -0.0833	 -0.0175	  0.0000
  2.0596	  0.3947	 -0.0728	 -0.0223	  0.0000
  2.1548	  0.3947	 -0.0614	 -0.0209	  0.0000
  2.2500	  0.3947	 -0.0522	 -0.0005	  0.0000
  2.3453	  0.3947	 -0.0438	  0.0174	  0.0000
  2.4405	  0.3947	 -0.0348	  0.0072	  0.0000
  2.5357	  0.3947	 -0.0196	 -0.0180	  0.0000
  2.6309	  0.3947	  0.0106	 -0.0076	  0.0000
  2.7261	  0.3947	  0.0495	  0.0906	  0.0000
  2.8213	  0.3947	  0.1013	  0.2155	  0.0000
  2.9165	  0.3947	  0.3084	  0.1558	  0.0000
  3.0117	  0.3947	  0.8352	 -0.2510	  0.0000
  3.1069	  0.3947	  1.6121	 -0.8088	  0.0000
  3.2021	  0.3947	  2.2473	 -1.2334	  0.0000
  3.2973	  0.3947	  2.3871	 -1.2816	  0.0000
  3.3925	  0.3947	  2.1508	 -1.0416	  0.0000
  3.4877	  0.3947	  1.9113	 -0.7789	  0.0000
  3.5829	  0.3947	  1.9629	 -0.7405	  0.0000
  3.6781	  0.3947	  2.1897	 -0.9166	  0.0000
  3.7733	  0.3947	  2.3624	 -1.1421	  0.0000
  3.8685	  0.3947	  2.2845	 -1.2634	  0.0000
  3.9637	  0.3947	  2.0099	 -1.2554	  0.0000
  4.0590	  0.3947	  1.7047	 -1.1567	  0.0000
  4.1542	  0.3947	  1.5042	 -1.0030	  0.0000
  4.2494	  0.3947	  1.4176	 -0.8467	  0.0000
  4.3446	  0.3947	  1.4223	 -0.7537	  0.0000
  4.4398	  0.3947	  1.4928	 -0.7577	  0.0000
  4.5350	  0.3947	  1.5941	 -0.8081	  0.0000
  4.6302	  0.3947	  1.6887	 -0.8420	  0.0000
  4.7254	  0.3947	  1.7404	 -0.8161	  0.0000
  4.8206	  0.3947	  1.7167	 -0.7447	  0.0000
  4.9158	  0.3947	  1.5860	 -0.6522	  0.0000
  5.0110	  0.3947	  1.3505	 -0.5692	  0.0000
  5.1062	  0.3947	  1.1506	 -0.5514	  0.0000
  5.2014	  0.3947	  1.1520	 -0.6591	  0.0000
  5.2966	  0.3947	  1.3531	 -0.8834	  0.0000
  5.3918	  0.3947	  1.5736	 -1.0833	  0.0000
  5.4870	  0.3947	  1.6408	 -1.1112	  0.0000
  5.5822	  0.3947	  1.5566	 -0.9852	  0.0000
  5.6774	  0.3947	  1.4119	 -0.7958	  0.0000
  5.7727	  0.3947	  1.2818	 -0.6163	  0.0000
  5.8679	  0.3947	  1.1929	 -0.4875	  0.0000
  5.9631	  0.3947	  1.1085	 -0.4077	  0.0000
  6.0583	  0.3947	  0.9884	 -0.3700	  0.0000
  6.1535	  0.3947	  0.8265	 -0.3518	  0.0000
  6.2487	  0.3947	  0.6578	 -0.3384	  0.0000
  6.3439	  0.3947	  0.5187	 -0.3181	  0.0000
  6.4391	  0.3947	  0.4358	 -0.2993	  0.0000
  6.5343	  0.3947	  0.4265	 -0.3079	  0.0000
  6.6295	  0.3947	  0.5171	 -0.3761	  0.0000
  6.7247	  0.3947	  0.6881	 -0.4918	  0.0000
  6.8199	  0.3947	  0.8005	 -0.5489	  0.0000
  6.9151	  0.3947	  0.7237	 -0.4489	  0.0000
  7.0103	  0.3947	  0.4981	 -0.2374	  0.0000
  7.1055	  0.3947	  0.2676	 -0.0464	  0.0000
  7.2007	  0.3947	  0.1324	  0.0248	  0.0000
  7.2959	  0.3947	  0.0475	  0.0185	  0.0000
  7.3911	  0.3947	 -0.0076	 -0.0122	  0.0000
  7.4864	  0.3947	 -0.0478	 -0.0220	  0.0000
  7.5816	  0.3947	 -0.0677	 -0.0077	  0.0000
  7.6768	  0.3947	 -0.0536	  0.0171	  0.0000
  7.7720	  0.3947	  0.0017	  0.0457	  0.0000
  7.8672	  0.3947	  0.0749	  0.0790	  0.0000
  7.9624	  0.3947	  0.1339	  0.1124	  0.0000
  8.0576	  0.3947	  0.1503	  0.1438	  0.0000
  8.1528	  0.3947	  0.1320	  0.1581	  0.0000
  8.2480	  0.3947	  0.1011	  0.1299	  0.0000
  8.3432	  0.3947	  0.0574	  0.0478	  0.0000
  8.4384	  0.3947	  0.0054	 -0.0444	  0.0000
  8.5336	  0.3947	 -0.0319	 -0.0900	  0.0000
  8.6288	  0.3947	 -0.0409	 -0.0789	  0.0000
  8.7240	  0.3947	 -0.0253	 -0.0488	  0.0000
  8.8192	  0.3947	  0.0100	 -0.0317	  0.0000
  8.9144	  0.3947	  0.0577	 -0.0431	  0.0000
