# x	y	u	v	mask
  0.4411	 19.6192	  0.2767	  0.4427	  0.0000
  0.7198	 19.6192	 -0.4216	  1.0928	  0.0000
  0.9984	 19.6192	  0.0000	  0.0000	  0.0000
  1.2770	 19.6192	 -0.3237	  2.6195	  0.0000
  1.5556	 19.6192	 -0.6502	 -0.6899	  0.0000
  1.8342	 19.6192	  2.8639	  0.4523	  0.0000
  2.1128	 19.6192	  6.5899	  1.9291	  0.0000
  2.3915	 19.6192	  0.0311	  0.0293	  0.0000
  2.6701	 19.6192	 -0.1100	 -0.2463	  0.0000
  2.9487	 19.6192	 -0.1100	 -0.2463	  0.0000
  3.2273	 19.6192	 -0.1248	 -0.4733	  0.0000
  3.5059	 19.6192	  0.0000	  0.0000	  0.0000
  3.7845	 19.6192	  0.0000	  0.0000	  0.0000
  4.0632	 19.6192	  0.0000	  0.0000	  0.0000
  4.3418	 19.6192	  0.0000	  0.0000	  0.0000
  4.6204	 19.6192	  0.0000	  0.0000	  0.0000
  4.8990	 19.6192	  0.1210	 -0.2805	  0.0000
  5.1776	 19.6192	 -0.1487	 -0.0728	  0.0000
  5.4562	 19.6192	 -0.5083	 -0.4217	  0.0000
  5.7349	 19.6192	 -0.5127	 -0.5142	  0.0000
  6.0135	 19.6192	 -1.7010	 -1.1397	  0.0000
  6.2921	 19.6192	 -1.0548	 -1.4448	  0.0000
  6.5707	 19.6192	  0.0657	 -0.4261	  0.0000
  6.8493	 19.6192	  0.0241	 -0.2827	  0.0000
  7.1279	 19.6192	  0.0112	 -0.0642	  0.0000
  7.4065	 19.6192	 -0.0073	 -0.0180	  0.0000
  7.6852	 19.6192	  0.0171	 -0.0006	  0.0000
  7.9638	 19.6192	 -0.0033	  0.0210	  0.0000
  8.2424	 19.6192	 -0.0567	 -0.0089	  0.0000
  8.5210	 19.6192	 -0.0576	 -0.0257	  0.0000
  8.7996	 19.6192	 -0.0366	 -0.0170	  0.0000
  9.0782	 19.6192	 -0.0053	 -0.0019	  0.0000
  9.3569	 19.6192	 -0.0423	  0.0027	  0.0000
  9.6355	 19.6192	 -0.1045	  0.0167	  0.0000
  9.9141	 19.6192	  0.1133	  0.0001	  0.0000
 10.1927	 19.6192	  0.0999	  0.0157	  0.0000
 10.4713	 19.6192	 -0.1813	  0.2056	  0.0000
 10.7499	 19.6192	 -0.1845	  0.0043	  0.0000
 11.0286	 19.6192	 -0.0002	 -0.0027	  0.0000
 11.3072	 19.6192	  0.0002	  0.0249	  0.0000
 11.5858	 19.6192	  0.0001	  0.0258	  0.0000
 11.8644	 19.6192	 -0.0430	  0.0725	  0.0000
 12.1430	 19.6192	 -0.9785	  0.0278	  0.0000
 12.4216	 19.6192	 -0.0904	  0.0901	  0.0000
 12.7003	 19.6192	 -0.1948	  0.0449	  0.0000
 12.9789	 19.6192	 -0.0895	  0.0645	  0.0000
 13.2575	 19.6192	 -0.5533	  0.0813	  0.0000
 13.5361	 19.6192	 -0.4936	  0.0990	  0.0000
 13.8147	 19.6192	 -0.7147	  0.2355	  0.0000
 14.0933	 19.6192	 -0.7606	  0.4313	  0.0000
 14.3720	 19.6192	 -0.8030	  0.4231	  0.0000
 14.6506	 19.6192	 -0.7281	  0.5000	  0.0000
 14.9292	 19.6192	 -1.5392	  0.5845	  0.0000
 15.2078	 19.6192	 -1.0591	  0.9909	  0.0000
 15.4864	 19.6192	 -1.0720	  0.7384	  0.0000
 15.7650	 19.6192	 -0.6086	  0.5924	  0.0000
 16.0436	 19.6192	 -0.3454	  0.2746	  0.0000
 16.3223	 19.6192	  0.0196	  0.4118	  0.0000
 16.6009	 19.6192	  0.0000	  0.0000	  0.0000
 16.8795	 19.6192	  0.0000	  0.0000	  0.0000
 17.1581	 19.6192	  0.0000	  0.0000	  0.0000
 17.4367	 19.6192	  0.0000	  0.0000	  0.0000
 17.7153	 19.6192	  0.0000	  0.0000	  0.0000
 17.9940	 19.6192	  0.0000	  0.0000	  0.0000
 18.2726	 19.6192	  0.0000	  0.0000	  0.0000
 18.5512	 19.6192	  0.0000	  0.0000	  0.0000
 18.8298	 19.6192	  0.0000	  0.0000	  0.0000
 19.1084	 19.6192	  0.0000	  0.0000	  0.0000
 19.3870	 19.6192	  0.0000	  0.0000	  0.0000
  0.4411	 19.3406	  0.0420	  0.6019	  0.0000
  0.7198	 19.3406	 -0.5684	  1.4570	  0.0000
  0.9984	 19.3406	  0.0000	  0.0000	  0.0000
  1.2770	 19.3406	  0.0323	 -0.0475	  0.0000
  1.5556	 19.3406	  0.0643	 -0.0235	  0.0000
  1.8342	 19.3406	  1.4380	 -0.3809	  0.0000
  2.1128	 19.3406	  6.5899	  1.9291	  0.0000
  2.3915	 19.3406	  0.1816	  0.0191	  0.0000
  2.6701	 19.3406	 -0.1047	  0.0768	  0.0000
  2.9487	 19.3406	 -0.1047	  0.0768	  0.0000
  3.2273	 19.3406	 -0.0736	  0.2590	  0.0000
  3.5059	 19.3406	  0.0000	  0.0000	  0.0000
  3.7845	 19.3406	  0.0000	  0.0000	  0.0000
  4.0632	 19.3406	 -0.9329	 -0.1936	  0.0000
  4.3418	 19.3406	 -1.4333	 -0.0354	  0.0000
  4.6204	 19.3406	 -0.3758	 -0.0851	  0.0000
  4.8990	 19.3406	 -0.3635	 -0.2311	  0.0000
  5.1776	 19.3406	 -0.2750	 -0.2072	  0.0000
  5.4562	 19.3406	 -0.4614	 -0.3700	  0.0000
  5.7349	 19.3406	 -0.5570	 -0.1902	  0.0000
  6.0135	 19.3406	 -1.3313	 -0.6286	  0.0000
  6.2921	 19.3406	 -0.3390	 -0.3461	  0.0000
  6.5707	 19.3406	 -0.0148	 -0.0739	  0.0000
  6.8493	 19.3406	 -0.0086	 -0.1852	  0.0000
  7.1279	 19.3406	 -0.0105	 -0.0427	  0.0000
  7.4065	 19.3406	  0.0010	 -0.0279	  0.0000
  7.6852	 19.3406	  0.0201	  0.0033	  0.0000
  7.9638	 19.3406	 -0.0040	  0.0205	  0.0000
  8.2424	 19.3406	 -0.0686	 -0.0332	  0.0000
  8.5210	 19.3406	 -0.0977	 -0.0197	  0.0000
  8.7996	 19.3406	 -0.0223	 -0.0128	  0.0000
  9.0782	 19.3406	 -0.0337	 -0.0034	  0.0000
  9.3569	 19.3406	 -0.0331	 -0.0094	  0.0000
  9.6355	 19.3406	  0.1091	 -0.0252	  0.0000
  9.9141	 19.3406	 -0.0883	 -0.0048	  0.0000
 10.1927	 19.3406	  0.0391	  0.0284	  0.0000
 10.4713	 19.3406	 -0.0289	  0.0119	  0.0000
 10.7499	 19.3406	 -0.1414	 -0.0564	  0.0000
 11.0286	 19.3406	 -0.2449	  0.1172	  0.0000
 11.3072	 19.3406	 -0.3194	 -0.0946	  0.0000
 11.5858	 19.3406	 -0.4331	 -0.0710	  0.0000
 11.8644	 19.3406	 -0.4391	 -0.0409	  0.0000
 12.1430	 19.3406	 -0.5297	  0.0245	  0.0000
 12.4216	 19.3406	  0.0065	  0.0293	  0.0000
 12.7003	 19.3406	 -0.0424	  0.0351	  0.0000
 12.9789	 19.3406	 -0.0131	  0.0689	  0.0000
 13.2575	 19.3406	 -0.6344	  0.0013	  0.0000
 13.5361	 19.3406	 -0.4184	 -0.0215	  0.0000
 13.8147	 19.3406	 -0.5202	 -0.2068	  0.0000
 14.0933	 19.3406	 -0.8322	  0.0741	  0.0000
 14.3720	 19.3406	 -0.8957	  0.1612	  0.0000
 14.6506	 19.3406	 -0.7556	  0.3277	  0.0000
 14.9292	 19.3406	 -1.4414	  0.4130	  0.0000
 15.2078	 19.3406	 -0.9819	  0.8566	  0.0000
 15.4864	 19.3406	 -0.9921	  0.6695	  0.0000
 15.7650	 19.3406	 -0.6191	  0.5265	  0.0000
 16.0436	 19.3406	 -0.4095	  0.3683	  0.0000
 16.3223	 19.3406	 -0.1524	  0.4889	  0.0000
 16.6009	 19.3406	  0.0000	  0.0000	  0.0000
 16.8795	 19.3406	  0.0000	  0.0000	  0.0000
 17.1581	 19.3406	  0.0000	  0.0000	  0.0000
 17.4367	 19.3406	  0.0000	  0.0000	  0.0000
 17.7153	 19.3406	  0.0000	  0.0000	  0.0000
 17.9940	 19.3406	  0.0000	  0.0000	  0.0000
 18.2726	 19.3406	  0.0000	  0.0000	  0.0000
 18.5512	 19.3406	  0.0000	  0.0000	  0.0000
 18.8298	 19.3406	  0.0000	  0.0000	  0.0000
 19.1084	 19.3406	  0.0000	  0.0000	  0.0000
 19.3870	 19.3406	  0.0000	  0.0000	  0.0000
  0.4411	 19.0620	 -0.0440	 -0.3041	  0.0000
  0.7198	 19.0620	 -1.1369	  2.9140	  0.0000
